ACCOUNT_NUMBER,BILL_MONTH_YEAR,INVOICE_DATE,BILL_PERIOD,INVOICE_NUMBER,ORG_NAME1,ORG_NAME2,ACCOUNT_NAME,SERVICE_ADDRESS,MAILING_ADDRESS,DAYS_BILLED,DUE_DATE,LPC,TOTAL_ELECTRIC,TOTAL_GAS,TOTAL_OTHER,SALES_TAX,TOTAL_DUE,PDF_FILENAME,PDF_BEGIN,PDF_END,CREATE_DATE,CREATE_TIME,EN_INV_TOTALS,EN_PDF_TOTALS,SD_INV_TOTALS,SD_PDF_TOTALS,DISCOUNT_AMOUNT,CATEGORY_COL,TOTAL_KWH_COL,ONPEAK_ENERGY_COL,OFFPEAK_ENERGY_COL,PSCR_COL,ENERGY_COL,STANDBY_COL,DISTRIBUTION_COL,TOTAL_GEN_KWH_COL,EL_ENERGY_COL,PO_ENERGY_COL,DEMAND_COL,HIST_MAX_KW_COL,CURR_MAX_KW_COL,ONPEAK_DEMAND_COL,MAX_DEMAND_COL,ONPEAK_STANDBY_COL,CAPACITY_COL,RESERVED_COL,CONTRACT_CAPACITY_COL,SUBSTATION_COL,POWER_COL,CUST_VOLTAGE_COL,METERED_ENERGY_COL,EST_ENERGY_COL,TOTAL_USAGE_COL,CORR_FACTOR_COL,EXCESS_DEMAND_COL,GAS_USAGE_COL,TRANSPORTATION_COL,SURCHARGE_COL,UNAUTH_USE_COL,LOAD_BALANCE_COL,RATE_DESC_COL,NO_LIGHTS_COL
1.00006E+11,Jan-22,1/20/2022,12/18/21 - 01/14/22,2.01096E+11,MSU STUDENT HOUSING CO OP INC,,C/O MSO SHC,"236 N HARRISON RD,EAST LANSING MI 48823-4141,",MSU STUDENT HOUSING CO OP INC 236 N HARRISON RD EAST LANSING MI 48823-4141,28,2/10/2022,,,362.51,0,21.75,384.26,2022_1_20_energy_vol44.pdf,378,379,,,,,,,,261,,,,,,,,,,,,,,,,,,,,,,,44.6,0,44.6,1,0,0,0,0,0,0,,
1.00006E+11,Feb-22,2/18/2022,01/15/22 - 02/15/22,2.01008E+11,MSU STUDENT HOUSING CO OP INC,,C/O MSO SHC,"236 N HARRISON RD,EAST LANSING MI 48823-4141,",MSU STUDENT HOUSING CO OP INC 236 N HARRISON RD EAST LANSING MI 48823-4141,32,3/11/2022,,,496.23,0,29.77,526,2022_2_18_energy_vol41.pdf,481,482,,,,,,,,261,,,,,,,,,,,,,,,,,,,,,,,61.7,0,61.7,1,0,0,0,0,0,0,,
1.00006E+11,Mar-22,3/22/2022,02/16/22 - 03/16/22,2.01274E+11,MSU STUDENT HOUSING CO OP INC,,C/O MSO SHC,"236 N HARRISON RD,EAST LANSING MI 48823-4141,",MSU STUDENT HOUSING CO OP INC 236 N HARRISON RD EAST LANSING MI 48823-4141,29,4/12/2022,,,356.23,0,21.37,377.6,2022_3_22_energy_vol12.pdf,111,112,,,,,,,,261,,,,,,,,,,,,,,,,,,,,,,,41.3,0,41.3,1,0,0,0,0,0,0,,
1.00006E+11,Apr-22,4/21/2022,03/17/22 - 04/14/22,2.01185E+11,MSU STUDENT HOUSING CO OP INC,,C/O MSO SHC,"236 N HARRISON RD,EAST LANSING MI 48823-4141,",MSU STUDENT HOUSING CO OP INC 236 N HARRISON RD EAST LANSING MI 48823-4141,29,5/12/2022,7.12,,240.51,377.6,14.43,639.66,2022_4_21_energy_vol10.pdf,883,884,,,,,,,,261,,,,,,,,,,,,,,,,,,,,,,,25.8,0,25.8,1,0,0,0,0,0,0,,
1.00006E+11,May-22,5/20/2022,04/15/22 - 05/17/22,2.01096E+11,MSU STUDENT HOUSING CO OP INC,,C/O MSO SHC,"236 N HARRISON RD,EAST LANSING MI 48823-4141,",MSU STUDENT HOUSING CO OP INC 236 N HARRISON RD EAST LANSING MI 48823-4141,33,6/10/2022,,,168.12,0,10.09,178.21,2022_5_20_energy_vol4.pdf,568,569,,,,,,,,261,,,,,,,,,,,,,,,,,,,,,,,15.8,0,15.8,1,0,0,0,0,0,0,,
1.00006E+11,Jun-22,6/21/2022,05/18/22 - 06/17/22,2.01097E+11,MSU STUDENT HOUSING CO OP INC,,C/O MSO SHC,"236 N HARRISON RD,EAST LANSING MI 48823-4141,",MSU STUDENT HOUSING CO OP INC 236 N HARRISON RD EAST LANSING MI 48823-4141,31,7/12/2022,,,70.91,0,4.25,75.16,2022_6_21_energy_vol16.pdf,44,45,,,,,,,,261,,,,,,,,,,,,,,,,,,,,,,,5.4,0,5.4,1,0,0,0,0,0,0,,
1.00006E+11,Jul-22,7/21/2022,06/18/22 - 07/15/22,2.01008E+11,MSU STUDENT HOUSING CO OP INC,,C/O MSO SHC,"236 N HARRISON RD,EAST LANSING MI 48823-4141,",MSU STUDENT HOUSING CO OP INC 236 N HARRISON RD EAST LANSING MI 48823-4141,28,8/11/2022,,,57.45,0,3.45,60.9,2022_7_21_energy_vol36.pdf,285,286,,,,,,,,261,,,,,,,,,,,,,,,,,,,,,,,4.1,0,4.1,1,0,0,0,0,0,0,,
1.00006E+11,Aug-22,8/19/2022,07/16/22 - 08/17/22,2.01186E+11,MSU STUDENT HOUSING CO OP INC,,C/O MSO SHC,"236 N HARRISON RD,EAST LANSING MI 48823-4141,",MSU STUDENT HOUSING CO OP INC 236 N HARRISON RD EAST LANSING MI 48823-4141,33,9/9/2022,1.15,,59.35,60.9,3.56,124.96,2022_8_19_energy_vol10.pdf,49,50,,,,,,,,261,,,,,,,,,,,,,,,,,,,,,,,4.5,0,4.5,1,0,0,0,0,0,0,,
1.00006E+11,Sep-22,9/20/2022,08/18/22 - 09/14/22,2.01097E+11,MSU STUDENT HOUSING CO OP INC,,C/O MSO SHC,"236 N HARRISON RD,EAST LANSING MI 48823-4141,",MSU STUDENT HOUSING CO OP INC 236 N HARRISON RD EAST LANSING MI 48823-4141,28,10/11/2022,2.34,,72.98,124.96,4.38,204.66,2022_9_20_energy_vol41.pdf,576,577,,,,,,,,261,,,,,,,,,,,,,,,,,,,,,,,5.6,0,5.6,1,0,0,0,0,0,0,,
1.00006E+11,Oct-22,10/20/2022,09/15/22 - 10/14/22,2.01275E+11,MSU STUDENT HOUSING CO OP INC,,C/O MSO SHC,"236 N HARRISON RD,EAST LANSING MI 48823-4141,",MSU STUDENT HOUSING CO OP INC 236 N HARRISON RD EAST LANSING MI 48823-4141,30,11/10/2022,3.8,,124.98,204.66,7.5,340.94,2022_10_20_energy_vol24.pdf,628,629,,,,,,,,261,,,,,,,,,,,,,,,,,,,,,,,9.2,0,9.2,1,0,0,0,0,0,0,,
1.00006E+11,Nov-22,11/21/2022,10/15/22 - 11/16/22,2.01008E+11,MSU STUDENT HOUSING CO OP INC,,C/O MSO SHC,"236 N HARRISON RD,EAST LANSING MI 48823-4141,",MSU STUDENT HOUSING CO OP INC 236 N HARRISON RD EAST LANSING MI 48823-4141,33,12/12/2022,,,235.97,-349.06,14.16,-98.93,2022_11_20_energy_vol1.pdf,449,450,,,,,,,,261,,,,,,,,,,,,,,,,,,,,,,,19,0,19,1,0,0,0,0,0,0,,
1.00006E+11,Dec-22,12/21/2022,11/17/22 - 12/15/22,2.01097E+11,MSU STUDENT HOUSING CO OP INC,,C/O MSO SHC,"236 N HARRISON RD,EAST LANSING MI 48823-4141,",MSU STUDENT HOUSING CO OP INC 236 N HARRISON RD EAST LANSING MI 48823-4141,29,1/11/2023,,,414.42,246.07,24.87,685.36,2022_12_21_energy_vol32.pdf,229,230,,,,,,,,261,,,,,,,,,,,,,,,,,,,,,,,35.5,0,35.5,1,0,0,0,0,0,0,,
1.00006E+11,Jan-23,1/23/2023,12/16/22 - 01/19/23,2.01364E+11,MSU STUDENT HOUSING CO OP INC,,C/O MSO SHC,"236 N HARRISON RD,EAST LANSING MI 48823-4141,",MSU STUDENT HOUSING CO OP INC 236 N HARRISON RD EAST LANSING MI 48823-4141,35,2/13/2023,8.29,,601.01,685.36,36.06,1330.72,2023_1_21_energy_vol19.pdf,639,640,,,,,,,,261,,,,,,,,,,,,,,,,,,,,,,,53.1,0,53.1,1,0,0,0,0,0,0,,
1.00006E+11,Feb-23,2/22/2023,01/20/23 - 02/16/23,2.03055E+11,MSU STUDENT HOUSING CO OP INC,,C/O MSO SHC,"236 N HARRISON RD,EAST LANSING MI 48823-4141,",MSU STUDENT HOUSING CO OP INC 236 N HARRISON RD EAST LANSING MI 48823-4141,28,3/15/2023,,,452.41,0,27.14,479.55,2023_2_22_energy_vol12.pdf,992,993,,,,,,,,261,,,,,,,,,,,,,,,,,,,,,,,41.9,0,41.9,1,0,0,0,0,0,0,,
1.00006E+11,Mar-23,3/23/2023,02/17/23 - 03/17/23,2.01453E+11,MSU STUDENT HOUSING CO OP INC,,C/O MSO SHC,"236 N HARRISON RD,EAST LANSING MI 48823-4141,",MSU STUDENT HOUSING CO OP INC 236 N HARRISON RD EAST LANSING MI 48823-4141,29,4/13/2023,9.05,,427.77,479.55,25.67,942.04,2023_3_23_energy_vol43.pdf,684,685,,,,,,,,261,,,,,,,,,,,,,,,,,,,,,,,40,0,40,1,0,0,0,0,0,0,,
1.00006E+11,Apr-23,4/24/2023,03/18/23 - 04/19/23,2.04034E+11,MSU STUDENT HOUSING CO OP INC,,C/O MSO SHC,"236 N HARRISON RD,EAST LANSING MI 48823-4141,",MSU STUDENT HOUSING CO OP INC 236 N HARRISON RD EAST LANSING MI 48823-4141,33,5/15/2023,,,284.17,0,17.05,301.22,2023_4_22_energy_vol6.pdf,48,49,,,,,,,,261,,,,,,,,,,,,,,,,,,,,,,,30.4,0,30.4,1,0,0,0,0,0,0,,
1.00006E+11,May-23,5/23/2023,04/20/23 - 05/19/23,2.0172E+11,MSU STUDENT HOUSING CO OP INC,,C/O MSO SHC,"236 N HARRISON RD,EAST LANSING MI 48823-4141,",MSU STUDENT HOUSING CO OP INC 236 N HARRISON RD EAST LANSING MI 48823-4141,30,6/13/2023,,,179.41,0,10.76,190.17,2023_5_23_energy_vol26.pdf,653,654,,,,,,,,261,,,,,,,,,,,,,,,,,,,,,,,19.7,0,19.7,1,0,0,0,0,0,0,,
1.00006E+11,Jun-23,6/22/2023,05/20/23 - 06/19/23,2.01453E+11,MSU STUDENT HOUSING CO OP INC,,C/O MSO SHC,"236 N HARRISON RD,EAST LANSING MI 48823-4141,",MSU STUDENT HOUSING CO OP INC 236 N HARRISON RD EAST LANSING MI 48823-4141,31,7/13/2023,3.59,,93.61,190.17,5.62,292.99,2023_6_22_energy_vol46.pdf,966,967,,,,,,,,261,,,,,,,,,,,,,,,,,,,,,,,9.5,0,9.5,1,0,0,0,0,0,0,,
1.00006E+11,Jul-23,7/24/2023,06/20/23 - 07/19/23,2.02165E+11,MSU STUDENT HOUSING CO OP INC,,C/O MSO SHC,"236 N HARRISON RD,EAST LANSING MI 48823-4141,",MSU STUDENT HOUSING CO OP INC 236 N HARRISON RD EAST LANSING MI 48823-4141,30,8/14/2023,,,67.22,0,4.03,71.25,2023_7_22_energy_vol49.pdf,81,82,,,,,,,,261,,,,,,,,,,,,,,,,,,,,,,,6.3,0,6.3,1,0,0,0,0,0,0,,
1.00006E+11,Aug-23,8/22/2023,07/20/23 - 08/17/23,2.01809E+11,MSU STUDENT HOUSING CO OP INC,,C/O MSO SHC,"236 N HARRISON RD,EAST LANSING MI 48823-4141,",MSU STUDENT HOUSING CO OP INC 236 N HARRISON RD EAST LANSING MI 48823-4141,29,9/12/2023,,,54.12,0,3.25,57.37,2023_8_22_energy_vol18.pdf,51,52,,,,,,,,261,,,,,,,,,,,,,,,,,,,,,,,4.8,0,4.8,1,0,0,0,0,0,0,,
1.00006E+11,Sep-23,9/21/2023,08/18/23 - 09/15/23,2.02699E+11,MSU STUDENT HOUSING CO OP INC,,C/O MSO SHC,"236 N HARRISON RD,EAST LANSING MI 48823-4141,",MSU STUDENT HOUSING CO OP INC 236 N HARRISON RD EAST LANSING MI 48823-4141,29,10/12/2023,1.08,,44.35,57.37,2.66,105.46,2023_9_21_energy_vol46.pdf,786,787,,,,,,,,261,,,,,,,,,,,,,,,,,,,,,,,5.2,0,5.2,1,0,0,0,0,0,0,,
1.00006E+11,Oct-23,10/23/2023,09/16/23 - 10/18/23,2.01809E+11,MSU STUDENT HOUSING CO OP INC,,C/O MSO SHC,"236 N HARRISON RD,EAST LANSING MI 48823-4141,",MSU STUDENT HOUSING CO OP INC 236 N HARRISON RD EAST LANSING MI 48823-4141,33,11/13/2023,,,113.37,0,6.8,120.17,2023_10_22_energy_vol27.pdf,483,484,,,,,,,,261,,,,,,,,,,,,,,,,,,,,,,,11.6,0,11.6,1,0,0,0,0,0,0,,
