Date,Amount,Fee,Interest/Penalty,Draft Number,New Balance,Description,Category,Note
12/16/2024,-200.73,0,0,1277,3284.65,Draft W/D,,
12/13/2024,-1455.47,0,0,,3485.38,XFR W/D:To MSU STUDENT HOUS Share 70,,
12/13/2024,-248,0,0,1275,4940.85,Draft W/D,,
12/8/2024,-23.31,0,0,,5188.85,Credit/Debit Card W/D:Stadium Wine & Spirits East Lansing MI,,
12/8/2024,-76.02,0,0,,5212.16,Credit/Debit Card W/D:TRADER JOE S #804 EAST LANSING MI,,
12/8/2024,-336.85,0,0,,5288.18,Credit/Debit Card W/D:METRONET RETAIL 877-4073224 KS,,
12/7/2024,-27.98,0,0,,5625.03,Credit/Debit Card W/D:COSTCO WHSE#1277 EAST LANSING MI,,
12/5/2024,3196.9,0,0,,5653.01,XFR Dep:From MSU STUDENT HOUS Share 70,,
12/4/2024,-125.81,0,0,1276,2456.11,Draft W/D,,
11/26/2024,-77.86,0,0,,2581.92,ACH W/D:GRANGERCOM,,
11/24/2024,-185.05,0,0,,2659.78,POS W/D:#000000NE0JS8,,
11/25/2024,-66.85,0,0,,2844.83,Credit/Debit Card W/D:MEIJER STORE #052 E LANSING MI,,
11/23/2024,-60.42,0,0,,2911.68,POS W/D:POS TARGET T-0365 4890 Marsh Rd Okemos MI,,
11/22/2024,-467.89,0,0,,2972.1,Credit/Debit Card W/D:BWL*10000168 517-702-6006 MI,,
11/18/2024,-3.99,0,0,,3439.99,Credit/Debit Card W/D:MEIJER STORE #052 E LANSING MI,,
11/18/2024,-122.7,0,0,,3443.98,Credit/Debit Card W/D:MEIJER STORE #025 OKEMOS MI,,
11/18/2024,2942,0,0,,3566.68,XFR Dep:From MSU STUDENT HOUS Share 70,,
11/15/2024,-49.21,0,0,,624.68,Credit/Debit Card W/D:DOMINO'S 1201 517-351-7100 MI,,
11/14/2024,-25,0,0,,673.89,Credit/Debit Card W/D:MSU PAYMENT ONLINE 517-355-5023 MI,,
11/14/2024,-16,0,0,,698.89,ACH W/D:HARLAND CLARKE,,
11/12/2024,-52.04,0,0,,714.89,Credit/Debit Card W/D:STAPLES 00103242 LANSING MI,,
11/11/2024,-8.56,0,0,,766.93,Credit/Debit Card W/D:TRADER JOE S #804 EAST LANSING MI,,
11/10/2024,-79.09,0,0,,775.49,Credit/Debit Card W/D:MEIJER STORE #025 OKEMOS MI,,
11/7/2024,-336.85,0,0,,854.58,Credit/Debit Card W/D:METRONET RETAIL 877-4073224 KS,,
