Date,Amount,Fee,Interest/Penalty,Draft Number,New Balance,Description,Category,Note
11/30/2024,0.47,0.00,0.00,,11380.65,Div Dep:0.050%,,
10/31/2024,0.48,0.00,0.00,,11380.18,Div Dep:0.050%,,
9/30/2024,0.47,0.00,0.00,,11379.70,Div Dep:0.050%,,
9/3/2024,-1200.00,0.00,0.00,,11379.23,XFR W/D:To Share 87,,
8/31/2024,0.59,0.00,0.00,,12579.23,Div Dep:0.050%,,
8/27/2024,-100.00,0.00,0.00,,12578.64,XFR W/D:To Share 87,,
8/26/2024,-100.00,0.00,0.00,,12678.64,XFR W/D:To Share 87,,
8/23/2024,-700.00,0.00,0.00,,12778.64,XFR W/D:To Share 87,,
8/22/2024,-200.00,0.00,0.00,,13478.64,XFR W/D:To Share 87,,
8/19/2024,-400.00,0.00,0.00,,13678.64,XFR W/D:To Share 87,,
8/12/2024,-200.00,0.00,0.00,,14078.64,XFR W/D:To Share 87,,
8/12/2024,-100.00,0.00,0.00,,14278.64,XFR W/D:To Share 87,,
8/11/2024,-600.00,0.00,0.00,,14378.64,XFR W/D:To Share 87,,
7/31/2024,0.55,0.00,0.00,,14978.64,Div Dep:0.050%,,
7/24/2024,2824.84,0.00,0.00,,14978.09,XFR Dep:From MSU STUDENT HOUS Share 70,,
6/30/2024,0.45,0.00,0.00,,12153.25,Div Dep:0.050%,,
6/14/2024,2880.00,0.00,0.00,,12152.80,XFR Dep:From MSU STUDENT HOUS Share 70,,
5/31/2024,0.39,0.00,0.00,,9272.80,Div Dep:0.050%,,
4/30/2024,0.38,0.00,0.00,,9272.41,Div Dep:0.050%,,
3/31/2024,0.31,0.00,0.00,,9272.03,Div Dep:0.050%,,
3/13/2024,3390.00,0.00,0.00,,9271.72,XFR Dep:From MSU STUDENT HOUS Share 70,,
3/8/2024,3038.00,0.00,0.00,,5881.72,XFR Dep:From MSU STUDENT HOUS Share 70,,
2/29/2024,0.11,0.00,0.00,,2843.72,Div Dep:0.050%,,
1/31/2024,0.12,0.00,0.00,,2843.61,Div Dep:0.050%,,
12/31/2023,0.12,0.00,0.00,,2843.49,Div Dep:0.050%,,
11/30/2023,0.12,0.00,0.00,,2843.37,Div Dep:0.050%,,
10/31/2023,0.12,0.00,0.00,,2843.25,Div Dep:0.050%,,
9/30/2023,0.12,0.00,0.00,,2843.13,Div Dep:0.050%,,
8/31/2023,0.12,0.00,0.00,,2843.01,Div Dep:0.050%,,
7/31/2023,0.12,0.00,0.00,,2842.89,Div Dep:0.050%,,
6/30/2023,0.15,0.00,0.00,,2842.77,Div Dep:0.050%,,
6/25/2023,-1000.00,0.00,0.00,,2842.62,HB XFR W/D:To Share 87,,
5/31/2023,0.16,0.00,0.00,,3842.62,Div Dep:0.050%,,
4/30/2023,0.16,0.00,0.00,,3842.46,Div Dep:0.050%,,
4/1/2023,-1000.00,0.00,0.00,,3842.30,HB XFR W/D:To Share 87,,
3/31/2023,0.24,0.00,0.00,,4842.30,Div Dep:0.050%,,
3/13/2023,-2000.00,0.00,0.00,,4842.06,HB XFR W/D:To Share 87,,
3/9/2023,-100.00,0.00,0.00,,6842.06,XFR W/D:To Share 87,,
3/6/2023,-100.00,0.00,0.00,,6942.06,XFR W/D:To Share 87,,
3/4/2023,-200.00,0.00,0.00,,7042.06,XFR W/D:To Share 87,,
2/28/2023,0.29,0.00,0.00,,7242.06,Div Dep:0.050%,,
2/28/2023,-300.00,0.00,0.00,,7241.77,XFR W/D:To Share 87,,
2/28/2023,-100.00,0.00,0.00,,7541.77,XFR W/D:To Share 87,,
1/31/2023,0.32,0.00,0.00,,7641.77,Div Dep:0.050%,,
12/31/2022,0.32,0.00,0.00,,7641.45,Div Dep:0.050%,,
