End of Year,Balance,Account Type
2017,3179.73,Savings
2017,4337.32,Checkings
2018,3992.62,Savings
2018,3807.1,Checkings
2019,1643.5,Savings
2019,4881.35,Checkings
2019,3135.34,Parking
2020,1644.75,Savings
2020,14068.1,Checkings
2020,2748.61,Parking
2021,1645.58,Savings
2021,1745.17,Checkings
2021,2750,Parking
2021,5578.31,3-Month-CD
2022,7641.45,Savings
2022,1750.04,Checkings
2022,1000.5,Parking
2022,5608.62,3-Month-CD
2023,2843.49,Savings
2023,6827.69,Checkings
2023,1000.98,Parking
2023,5781.16,3-Month-CD
